days ,energy in GW 
01.01.2019,678.41515
01.02.2019,817.48704
01.03.2019,814.66441
01.04.2019,787.25878
01.05.2019,660.38872
01.06.2019,779.45735
01.07.2019,832.8649
01.08.2019,968.04793
01.09.2019,757.77469
01.10.2019,778.00636
01.11.2019,778.57321
01.12.2019,715.2146
02.01.2019,828.44706
02.02.2019,762.46687
02.03.2019,778.16031
02.04.2019,799.75804
02.05.2019,736.81018
02.06.2019,696.62827
02.07.2019,885.4104
02.08.2019,962.46903
02.09.2019,881.45134
02.10.2019,784.80093
02.11.2019,728.59578
02.12.2019,807.37919
03.01.2019,847.90284
03.02.2019,678.63793
03.03.2019,706.25098
03.04.2019,800.71981
03.05.2019,740.49444
03.06.2019,632.4098
03.07.2019,907.21721
03.08.2019,917.29178
03.09.2019,901.08038
03.10.2019,785.72779
03.11.2019,651.67733
03.12.2019,831.02169
04.01.2019,844.10321
04.02.2019,780.55183
04.03.2019,811.92173
04.04.2019,797.28704
04.05.2019,716.77557
04.06.2019,529.73188
04.07.2019,922.30517
04.08.2019,823.43108
04.09.2019,899.62104
04.10.2019,782.61468
04.11.2019,756.3843
04.12.2019,865.56709
05.01.2019,806.9629
05.02.2019,798.08777
05.03.2019,807.74729
05.04.2019,784.3228
05.05.2019,648.85911
05.06.2019,534.57179
05.07.2019,925.63529
05.08.2019,914.73088
05.09.2019,888.9778
05.10.2019,736.92944
05.11.2019,777.77686
05.12.2019,872.56759
06.01.2019,737.81186
06.02.2019,836.35098
06.03.2019,808.46643
06.04.2019,753.26699
06.05.2019,725.59584
06.06.2019,566.46084
06.07.2019,883.70153
06.08.2019,922.81522
06.09.2019,877.05884
06.10.2019,651.36653
06.11.2019,770.39344
06.12.2019,862.71575
07.01.2019,859.80479
07.02.2019,857.04487
07.03.2019,797.39661
07.04.2019,672.11994
07.05.2019,749.45856
07.06.2019,655.56306
07.07.2019,786.54784
07.08.2019,919.4789
07.09.2019,827.97394
07.10.2019,738.45554
07.11.2019,771.08765
07.12.2019,820.15312
08.01.2019,892.25302
08.02.2019,857.13966
08.03.2019,769.94541
08.04.2019,751.31286
08.05.2019,759.15175
08.06.2019,685.96331
08.07.2019,906.90689
08.08.2019,919.94084
08.09.2019,738.92951
08.10.2019,770.85888
08.11.2019,763.61076
08.12.2019,738.04764
09.01.2019,880.5379
09.02.2019,813.39235
09.03.2019,730.04691
09.04.2019,776.77107
09.05.2019,759.39628
09.06.2019,666.29586
09.07.2019,948.10208
09.08.2019,900.57274
09.09.2019,839.07091
09.10.2019,765.44796
09.11.2019,735.60364
09.12.2019,849.06612
10.01.2019,875.13117
10.02.2019,723.12071
10.03.2019,651.55315
10.04.2019,788.55875
10.05.2019,769.70388
10.06.2019,771.20764
10.07.2019,944.7811
10.08.2019,746.8678
10.09.2019,860.69035
10.10.2019,765.05423
10.11.2019,657.59482
10.12.2019,864.54542
11.01.2019,860.48502
11.02.2019,805.06567
11.03.2019,740.90063
11.04.2019,784.04788
11.05.2019,742.13636
11.06.2019,805.35744
11.07.2019,914.06632
11.08.2019,632.68825
11.09.2019,865.64751
11.10.2019,763.60689
11.11.2019,759.93944
11.12.2019,869.27268
12.01.2019,816.17356
12.02.2019,817.98435
12.03.2019,791.55056
12.04.2019,761.2307
12.05.2019,649.73209
12.06.2019,814.12576
12.07.2019,894.60159
12.08.2019,655.95254
12.09.2019,863.46819
12.10.2019,724.28899
12.11.2019,780.20587
12.12.2019,873.32583
13.01.2019,735.6981
13.02.2019,847.10214
13.03.2019,809.59924
13.04.2019,721.24446
13.05.2019,736.16321
13.06.2019,824.19814
13.07.2019,842.82728
13.08.2019,684.72731
13.09.2019,845.98611
13.10.2019,647.7949
13.11.2019,784.0878
13.12.2019,857.27732
14.01.2019,847.88096
14.02.2019,862.45381
14.03.2019,815.43685
14.04.2019,641.14815
14.05.2019,765.93006
14.06.2019,818.73285
14.07.2019,743.69989
14.08.2019,722.81774
14.09.2019,798.04513
14.10.2019,744.42918
14.11.2019,796.67491
14.12.2019,812.84182
15.01.2019,870.92923
15.02.2019,862.9453
15.03.2019,826.73383
15.04.2019,751.08528
15.05.2019,779.24495
15.06.2019,782.33492
15.07.2019,765.22115
15.08.2019,842.42671
15.09.2019,705.2842
15.10.2019,765.95274
15.11.2019,791.08491
15.12.2019,717.41167
16.01.2019,873.17863
16.02.2019,806.36127
16.03.2019,778.12233
16.04.2019,796.94904
16.05.2019,793.52225
16.06.2019,704.05967
16.07.2019,862.44397
16.08.2019,851.03731
16.09.2019,807.06626
16.10.2019,771.71979
16.11.2019,742.1171
16.12.2019,817.16155
17.01.2019,863.06112
17.02.2019,701.97365
17.03.2019,673.86213
17.04.2019,798.82897
17.05.2019,790.92299
17.06.2019,813.98993
17.07.2019,881.81417
17.08.2019,814.72155
17.09.2019,819.04406
17.10.2019,771.34292
17.11.2019,662.65414
17.12.2019,834.76952
18.01.2019,850.25314
18.02.2019,805.75805
18.03.2019,749.89891
18.04.2019,797.27612
18.05.2019,759.26429
18.06.2019,836.88378
18.07.2019,877.33623
18.08.2019,747.99305
18.09.2019,820.81343
18.10.2019,764.3686
18.11.2019,774.36123
18.12.2019,832.89516
19.01.2019,803.26139
19.02.2019,813.98804
19.03.2019,759.3096
19.04.2019,802.42114
19.05.2019,671.14679
19.06.2019,833.75912
19.07.2019,881.15991
19.08.2019,853.88435
19.09.2019,820.9732
19.10.2019,728.72631
19.11.2019,799.48303
19.12.2019,834.39019
20.01.2019,707.2753
20.02.2019,816.57653
20.03.2019,769.56762
20.04.2019,778.74139
20.05.2019,772.44619
20.06.2019,828.8965
20.07.2019,856.95595
20.08.2019,891.04974
20.09.2019,804.15573
20.10.2019,641.37388
20.11.2019,799.55038
20.12.2019,833.94101
21.01.2019,834.52777
21.02.2019,819.89801
21.03.2019,774.52213
21.04.2019,695.62104
21.05.2019,805.77761
21.06.2019,830.23633
21.07.2019,775.7747
21.08.2019,891.71801
21.09.2019,763.56069
21.10.2019,738.24156
21.11.2019,805.27625
21.12.2019,793.83207
22.01.2019,846.9726
22.02.2019,821.74215
22.03.2019,767.04793
22.04.2019,761.51795
22.05.2019,814.38528
22.06.2019,804.34927
22.07.2019,894.25625
22.08.2019,901.4034
22.09.2019,662.40846
22.10.2019,763.34846
22.11.2019,813.51076
